Last Updated till-,12-Aug-26,,,,,,,,Total Till date,,"8,69,094","1,71,523","3,34,680","1,06,518","35,440","49,063","17,905","18,773",0,"18,150","9,500","11,407","43,072","41,895","1,900","6,040","5,305","10,502","9,166","2,300","73,121","39,643","32,564",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,48,4970,1019,0,,,,,31-Mar-26,,,,,"5,25,701","36,678"
20-May-26,0,3,H90304722293,3,,HIVPL/26-27/754,P4398464,Zepto,MUM-DRY-MH3,1,150,0,,,,,,,,,,,,,,,,,,,50,50,50,,,,,,,,,,,,,,,,OOS,Movin,H90304722293,Matched ✅,,,20,5,2026,NA,24,MUM-DRY-MH3,,,,
20-May-26,0,4,SR-20904218243001,4,,HIVPL/26-27/755,P4402370,Zepto,HYD-MH 3,1,200,0,50,,,,,,,,,,,,,,,,,,50,50,50,,,,,,,,,,,,,,,,OOS,Shiprocket,SR-20904218243001,Matched ✅,,,20,5,2026,NA,32,HYD-MH 3,,,50,
21-May-26,0,3,H90304724850,3,,HIVPL/26-27/760,P4401939,Zepto,BLR-Nelamangala-DRYMH,2,150,0,,,,,,,,,,,,,,,,,,,50,50,50,,,,,,,,,,,,,,,,OOS,Movin,H90304724850,Matched ✅,,,21,5,2026,NA,24,BLR-Nelamangala-DRYMH,,,,
22-May-26,0,4,H90304727477,4,,HIVPL/26-27/773,P4388369,Zepto,FBD-DRY-MH,25-May,200,0,100,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,NCR,Movin,H90304727477,Matched ✅,,,22,5,2026,NA,32,FBD-DRY-MH,,,100,
23-May-26,0,2,H90304730067,2,,HIVPL/26-27/797,P4401879,Zepto,FBD-DRY-MH,27-May,100,50,50,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,NCR,Movin,H90304730067,Matched ✅,,,23,5,2026,NA,16,FBD-DRY-MH,,,50,
23-May-26,0,4,H90304730069,4,,HIVPL/26-27/798,P4388757,Zepto,GUR-DRY-MH-FARUKHNAGAR,26-May,200,150,50,,,,,,,,,,,,,,,,,,50,50,50,,,,,,,,,,,,,,,,NCR,Movin,H90304730069,Matched ✅,,,23,5,2026,NA,32,GUR-DRY-MH-FARUKHNAGAR,,,50,
23-May-26,0,8,H90304730070,8,,HIVPL/26-27/799,P4388110,Zepto,HYD-DRY-MH2-KANDLAKOYA,5,400,300,100,,,,,,,,,,,,,,,,,,100,100,100,,,,,,,,,,,,,,,,OOS,Movin,H90304730070,Matched ✅,,,23,5,2026,NA,64,HYD-DRY-MH2-KANDLAKOYA,,,100,
26-May-26,0,8,H90304735603,8,,HIVPL/26-27/820,P4399702,Zepto,BLR-DRY-MH-Sumadhura2,7,400,50,,100,50,150,50,0,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304735603,Matched ✅,,,26,5,2026,NA,64,BLR-DRY-MH-Sumadhura2,,,300,50
27-May-26,0,3,H90304738000,3,,HIVPL/26-27/837,P4471219,Zepto,CHN-DRY-MH2-THIRUVALLUR,0,150,50,,50,,,,,,,,50,,,,,,,,,50,,,,,,,,,,,,,,,,,,OOS,Movin,H90304738000,Matched ✅,,,27,5,2026,NA,24,CHN-DRY-MH2-THIRUVALLUR,,,50,
27-May-26,0,3,H90304738001,3,,HIVPL/26-27/838,P4406041,Zepto,FBD-DRY-MH,29-May,150,0,50,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,NCR,Movin,H90304738001,Matched ✅,,,27,5,2026,NA,24,FBD-DRY-MH,,,50,
27-May-26,0,16,H90304738002,16,,HIVPL/26-27/839,P4399778,Zepto,JJR-DRY-MH-LUHARI,28-May,800,250,150,50,0,100,100,100,,,,50,50,,,50,50,,50,,50,0,,,,,,,,,,,,,,,,,NCR,Movin,H90304738002,Matched ✅,,,27,5,2026,NA,128,JJR-DRY-MH-LUHARI,,,300,200
27-May-26,0,9,H90304738004,9,,HIVPL/26-27/840,P4408721,Zepto,JJR-DRY-MH-LUHARI,29-May,450,50,100,,,100,,,,50,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,NCR,Movin,H90304738004,Matched ✅,,,27,5,2026,NA,72,JJR-DRY-MH-LUHARI,,,200,
28-May-26,0,7,H90304740531,7,,HIVPL/26-27/861,P4471554,Zepto,BLR-DRY-MH-Sumadhura2,1,350,200,50,,,,,,,50,,,50,100,,,,,,,50,50,,,,,,,,,,,,,,,,,OOS,Movin,H90304740531,Matched ✅,,,28,5,2026,NA,56,BLR-DRY-MH-Sumadhura2,,,50,
29-May-26,0,4,H90304742796,4,,HIVPL/26-27/879,P4408346,Zepto,BLR-DRY-MH-Sumadhura2,9,200,50,,,0,50,,,,,,,50,,,,,,,,50,50,,,,,,,,,,,,,,,,,OOS,Movin,H90304742796,Matched ✅,,,29,5,2026,NA,32,BLR-DRY-MH-Sumadhura2,,,50,
29-May-26,0,4,H90304742797,4,,HIVPL/26-27/880,P4402320,Zepto,CHN-DRY-MH2-THIRUVALLUR,10,200,100,100,,0,0,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304742797,Matched ✅,,,29,5,2026,NA,32,CHN-DRY-MH2-THIRUVALLUR,,,100,
29-May-26,0,3,H90304742798,3,,HIVPL/26-27/881,P4408070,Zepto,CHN-DRY-MH2-THIRUVALLUR,9,150,0,50,50,0,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304742798,Matched ✅,,,29,5,2026,NA,24,CHN-DRY-MH2-THIRUVALLUR,,,150,
30-May-26,0,4,H90304745040,4,,HIVPL/26-27/899,P4494934,Zepto,BLR-DRY-MH-Sumadhura2,1,200,100,100,,,,0,,,,,50,,,,50,,,,,0,,,,,,,,,,,,,,,,,,OOS,Movin,H90304745040,Matched ✅,,,30,5,2026,NA,32,BLR-DRY-MH-Sumadhura2,,,100,
30-May-26,0,4,H90304745041,4,,HIVPL/26-27/900,P4472822,Zepto,Bnglr MYLP,3,200,0,100,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movin,H90304745041,Matched ✅,,,30,5,2026,NA,32,BLR-MYLAPURA MH,,,200,
30-May-26,0,1,H90304745042,1,,HIVPL/26-27/901,P4494639,Zepto,MUM-DRY-MH-SHAKTI,1,50,50,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304745042,Matched ✅,,,30,5,2026,NA,8,MUM-DRY-MH-SHAKTI,,,,
01-Jun-26,0,7,H90304747865,7,,HIVPL/26-27/909,P4508686,Zepto,CHN-DRY-MH2-THIRUVALLUR,2,350,100,,250,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,OOS,Movin,H90304747865,Matched ✅,,,1,6,2026,NA,56,CHN-DRY-MH2-THIRUVALLUR,,,250,
01-Jun-26,0,3,H90304747866,3,,HIVPL/26-27/910,P4509441,Zepto,KTPL-KOL-DRY-MH NEW,2,150,100,50,,,,,,,,50,,,,,,50,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304747866,Matched ✅,,,1,6,2026,NA,24,KTPL-KOL-DRY-MH NEW,,,50,
01-Jun-26,0,2,H90304747867,2,,HIVPL/26-27/911,P4508157,Zepto,MUM-DRY-MH3,2,100,50,,50,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304747867,Matched ✅,,,1,6,2026,NA,16,MUM-DRY-MH3,,,50,
01-Jun-26,0,3,H90304747868,3,,HIVPL/26-27/912,P4509118,Zepto,MUM-DRY-MH-SHAKTI,2,150,100,,50,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304747868,Matched ✅,,,1,6,2026,NA,24,MUM-DRY-MH-SHAKTI,,,50,
02-Jun-26,0,9,H90304750283,9,,HIVPL/26-27/934,P4494176,Zepto,BLR-Nelamangala-DRYMH,4,450,0,,,300,100,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,OOS,Movin,H90304750283,Matched ✅,,,2,6,2026,NA,72,BLR-Nelamangala-DRYMH,,,400,
02-Jun-26,0,5,H90304750258,5,,HIVPL/26-27/935,P4496039,Zepto,FBD-DRY-MH,04-Jun,250,0,50,,,,,,,,,,,,,,,,,,50,100,50,,,,,,,,,,,,,,,,NCR,Movin,H90304750258,Matched ✅,,,2,6,2026,NA,40,FBD-DRY-MH,,,50,
02-Jun-26,0,1,H90304750259,1,,HIVPL/26-27/936,P4509098,Zepto,FBD-DRY-MH,04-Jun,50,0,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCR,Movin,H90304750259,Matched ✅,,,2,6,2026,NA,8,FBD-DRY-MH,,,50,
02-Jun-26,0,3,H90304750260,3,,HIVPL/26-27/937,P4494195,Zepto,GUR-DRY-MH-FARUKHNAGAR,04-Jun,150,0,50,,,,,,,,,,,,,,,,,,50,,50,,,,,,,,,,,,,,,,NCR,Movin,H90304750260,Matched ✅,,,2,6,2026,NA,24,GUR-DRY-MH-FARUKHNAGAR,,,50,
02-Jun-26,0,2,H90304750262,2,,HIVPL/26-27/938,P4509472,Zepto,GUR-DRY-MH-FARUKHNAGAR,04-Jun,100,0,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NCR,Movin,H90304750262,Matched ✅,,,2,6,2026,NA,16,GUR-DRY-MH-FARUKHNAGAR,,,100,
03-Jun-26,0,3,H90304752833,3,,HIVPL/26-27/962,P4537528,Zepto,CHN-DRY-MH2-THIRUVALLUR,0,150,100,,50,,,,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304752833,Matched ✅,,,3,6,2026,NA,24,CHN-DRY-MH2-THIRUVALLUR,,,50,
03-Jun-26,0,2,H90304752835,2,,HIVPL/26-27/963,P4468216,Zepto,FBD-DRY-MH,06-Jun,100,0,50,,,,,,,,,,,,,,,,,,0,,50,,,,,,,,,,,,,,,,NCR,Movin,H90304752835,Matched ✅,,,3,6,2026,NA,16,FBD-DRY-MH,,,50,
03-Jun-26,0,11,H90304752840,11,,HIVPL/26-27/964,P4494360,Zepto,JJR-DRY-MH-LUHARI,06-Jun,550,50,50,150,50,,100,0,,,50,,,,,,,,,,0,100,50,,,,,,,,,,,,,,,,NCR,Movin,H90304752840,Matched ✅,,,3,6,2026,NA,88,JJR-DRY-MH-LUHARI,,,250,100
04-Jun-26,0,3,H90304755382,3,,HIVPL/26-27/983,P4530041,Zepto,BLR-Nelamangala-DRYMH,2,150,0,50,,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304755382,Matched ✅,,,4,6,2026,NA,24,BLR-Nelamangala-DRYMH,,,150,
04-Jun-26,0,2,H90304755383,2,,HIVPL/26-27/984,P4538790,Zepto,MUM-DRY-MH3,1,100,0,,,,,,,,,,,,,,,,,,,50,,50,,,,,,,,,,,,,,,,OOS,Movin,H90304755383,Matched ✅,,,4,6,2026,NA,16,MUM-DRY-MH3,,,,
04-Jun-26,0,7,H90304755384,7,,HIVPL/26-27/985,P4537923,Zepto,MUM-DRY-MH-SHAKTI,1,350,50,,,150,,100,,,,50,,,,,,,,,,,,50,,,,,,,,,,,,,,,,OOS,Movin,H90304755384,Matched ✅,,,4,6,2026,NA,56,MUM-DRY-MH-SHAKTI,,,150,100
08-Jun-26,0,2,H90304761981,2,,HIVPL/26-27/1025,P4553192,Zepto,GUR-DRY-MH-FARUKHNAGAR,11-Jun,100,0,50,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,NCR,Movin,H90304761981,Matched ✅,,,8,6,2026,NA,16,GUR-DRY-MH-FARUKHNAGAR,,,50,
09-Jun-26,0,4,H90304764320,4,,HIVPL/26-27/1046,P4536907,Zepto,FBD-DRY-MH,12-Jun,200,0,100,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,NCR,Movin,H90304764320,Matched ✅,,,9,6,2026,NA,32,FBD-DRY-MH,,,100,
09-Jun-26,0,18,H90304764321,18,,HIVPL/26-27/1047,P4472092,Zepto,JJR-DRY-MH-LUHARI,12-Jun,900,150,100,,250,250,,,,,,,50,100,,,,,,,100,,50,,,,,,,,,,,,,,,,NCR,Movin,H90304764321,Matched ✅,,,9,6,2026,NA,144,JJR-DRY-MH-LUHARI,,,600,
09-Jun-26,0,9,H90304764322,9,,HIVPL/26-27/1048,P4539164,Zepto,JJR-DRY-MH-LUHARI,12-Jun,450,150,100,,,,,,,,,50,50,,,,,,50,,100,50,50,,,,,,,,,,,,,,,,NCR,Movin,H90304764322,Matched ✅,,,9,6,2026,NA,72,JJR-DRY-MH-LUHARI,,,100,
09-Jun-26,0,2,H90304764324,2,,HIVPL/26-27/1049,P4551020,Zepto,MUM-DRY-MH-SHAKTI,5,100,0,,,,,,,,,,,,,,,,,,,,50,50,,,,,,,,,,,,,,,,OOS,Movin,H90304764324,Matched ✅,,,9,6,2026,NA,16,MUM-DRY-MH-SHAKTI,,,,
10-Jun-26,0,1,H90304766799,1,,HIVPL/26-27/1069,P4603023,Zepto,MUM-DRY-MH3,0,50,50,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304766799,Matched ✅,,,10,6,2026,NA,8,MUM-DRY-MH3,,,,
10-Jun-26,0,5,H90304766800,5,,HIVPL/26-27/1070,P4601678,Zepto,MUM-DRY-MH-SHAKTI,0,250,200,,50,,,,,,50,50,50,0,,,50,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304766800,Matched ✅,,,10,6,2026,NA,40,MUM-DRY-MH-SHAKTI,,,50,
11-Jun-26,0,9,H90304769379,9,,HIVPL/26-27/1094,P4536370,Zepto,BLR-DRY-MH-Sumadhura2,8,450,100,200,50,,,,,,,,,50,,,,,,50,,,50,50,,,,,,,,,,,,,,,,OOS,Movin,H90304769379,Matched ✅,,,11,6,2026,NA,72,BLR-DRY-MH-Sumadhura2,,,250,
11-Jun-26,0,4,H90304769382,4,,HIVPL/26-27/1095,P4553839,Zepto,Bnglr MYLP,7,200,0,50,,,,,,,,,,,,,,,,,,100,50,,,,,,,,,,,,,,,,,,Movin,H90304769382,Matched ✅,,,11,6,2026,NA,32,BLR-MYLAPURA MH,,,50,
11-Jun-26,0,6,H90304769385,6,,HIVPL/26-27/1096,P4602822,Zepto,CHN-DRY-MH2-THIRUVALLUR,1,300,150,,,,,100,50,,,,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304769385,Matched ✅,,,11,6,2026,NA,48,CHN-DRY-MH2-THIRUVALLUR,,,,150
12-Jun-26,0,2,H90304772108,2,,HIVPL/26-27/1106,P4609495,Zepto,Bnglr MYLP,2,100,0,50,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movin,H90304772108,Matched ✅,,,12,6,2026,NA,16,BLR-MYLAPURA MH,,,100,
13-Jun-26,0,8,H90304774645,8,,HIVPL/26-27/1130,P4599651,Zepto,BLR-DRY-MH-Sumadhura2,3,400,150,,0,100,150,,0,,,,50,,,,,,50,50,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304774645,Matched ✅,,,13,6,2026,NA,64,BLR-DRY-MH-Sumadhura2,,,250,
13-Jun-26,0,2,H90304774646,2,,HIVPL/26-27/1131,P4609801,Zepto,HYD-DRY-MH2-KANDLAKOYA,3,100,50,50,,,,,,,,,,,,,,,,,,0,50,,,,,,,,,,,,,,,,,OOS,Movin,H90304774646,Matched ✅,,,13,6,2026,NA,16,HYD-DRY-MH2-KANDLAKOYA,,,50,
15-Jun-26,0,4,H90304776581,4,,HIVPL/26-27/1155,P4600454,Zepto,FBD-DRY-MH,17-Jun,200,0,100,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,NCR,Movin,H90304776581,Matched ✅,,,15,6,2026,NA,32,FBD-DRY-MH,,,100,
15-Jun-26,0,2,H90304776582,2,,HIVPL/26-27/1156,P4610123,Zepto,FBD-DRY-MH,17-Jun,100,0,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,NCR,Movin,H90304776582,Matched ✅,,,15,6,2026,NA,16,FBD-DRY-MH,,,,
15-Jun-26,0,12,H90304776560,12,,HIVPL/26-27/1157,P4603513,Zepto,JJR-DRY-MH-LUHARI,17-Jun,600,50,250,,50,50,,,,,,,,,,,,50,,,100,50,50,,,,,,,,,,,,,,,,NCR,Movin,H90304776560,Matched ✅,,,15,6,2026,NA,96,JJR-DRY-MH-LUHARI,,,350,
15-Jun-26,0,4,SR-20904218637344,4,,HIVPL/26-27/1097,P4609547,Zepto,HYD-MH 3,5,200,0,100,,,,,,,,,,,,,,,,,,50,50,,,,,,,,,,,,,,,,,OOS,Shiprocket,SR-20904218637344,Matched ✅,,,15,6,2026,NA,32,HYD-MH 3,,,100,
22-Jun-26,0,6,H90304792943,6,,HIVPL/26-27/1254,P4664147,Zepto,BLR-DRY-MH-Sumadhura2,5,300,150,100,,,,,,,50,,,50,50,,,,,,,0,50,,,,,,,,,,,,,,,,,OOS,Movin,H90304792943,Matched ✅,,,22,6,2026,NA,48,BLR-DRY-MH-Sumadhura2,,,100,
22-Jun-26,0,7,H90304792945,7,,HIVPL/26-27/1255,P4687913,Zepto,BLR-DRY-MH-Sumadhura2,3,350,0,100,50,50,100,,,,,,,,,,,,,,,0,50,,,,,,,,,,,,,,,,,OOS,Movin,H90304792945,Matched ✅,,,22,6,2026,NA,56,BLR-DRY-MH-Sumadhura2,,,300,
22-Jun-26,0,5,H90304792946,5,,HIVPL/26-27/1256,P4688316,Zepto,BLR-Nelamangala-DRYMH,3,250,0,100,,,50,,,,,,,,,,,,,,,50,,50,,,,,,,,,,,,,,,,OOS,Movin,H90304792946,Matched ✅,,,22,6,2026,NA,40,BLR-Nelamangala-DRYMH,,,150,
22-Jun-26,0,1,H90304792948,1,,HIVPL/26-27/1257,P4712524,Zepto,BLR-SS-MH-SUMADHURA,0,50,50,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304792948,Matched ✅,,,22,6,2026,NA,8,BLR-SS-MH-SUMADHURA,,,,
22-Jun-26,0,10,H90304792949,10,,HIVPL/26-27/1258,P4689221,Zepto,Bnglr MYLP,3,500,0,150,,100,100,,,,,,,,,,,,,,,50,50,50,,,,,,,,,,,,,,,,,Movin,H90304792949,Matched ✅,,,22,6,2026,NA,80,BLR-MYLAPURA MH,,,350,
22-Jun-26,0,8,H90304792950,8,,HIVPL/26-27/1259,P4689146,Zepto,CHN-DRY-MH2-THIRUVALLUR,3,400,50,100,200,,,,,,,,,,,,50,,,,,0,50,,,,,,,,,,,,,,,,,OOS,Movin,H90304792950,Matched ✅,,,22,6,2026,NA,64,CHN-DRY-MH2-THIRUVALLUR,,,300,
22-Jun-26,0,2,H90304792919,2,,HIVPL/26-27/1260,P4663774,Zepto,FBD-DRY-MH,25-Jun,100,0,50,,,,,,,,,,,,,,,,,,0,,50,,,,,,,,,,,,,,,,NCR,Movin,H90304792919,Matched ✅,,,22,6,2026,NA,16,FBD-DRY-MH,,,50,
22-Jun-26,0,1,H90304792920,1,,HIVPL/26-27/1261,P4686496,Zepto,MUM-DRY-MH-SHAKTI,3,50,50,,,,,,,,,,,50,,,,,,,,0,,,,,,,,,,,,,,,,,,OOS,Movin,H90304792920,Matched ✅,,,22,6,2026,NA,8,MUM-DRY-MH-SHAKTI,,,,
23-Jun-26,0,2,H90304795635,2,,HIVPL/26-27/1292,P4701492,Zepto,BLR-DRY-MH-Sumadhura2,3,100,0,,,50,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,OOS,Movin,H90304795635,Matched ✅,,,23,6,2026,NA,16,BLR-DRY-MH-Sumadhura2,,,50,
24-Jun-26,0,4,H90304798405,4,,HIVPL/26-27/1303,P4701495,Zepto,HYD-DRY-MH2-KANDLAKOYA,4,250,0,50,,,,,,,,,,,,,,,,,,50,50,50,,,,,,,,,,,,,,,,OOS,Movin,H90304798405,Matched ✅,,,24,6,2026,NA,32,HYD-DRY-MH2-KANDLAKOYA,,,50,
24-Jun-26,0,13,H90304798406,13,,HIVPL/26-27/1304,P4666866,Zepto,JJR-DRY-MH-LUHARI,27-Jun,1000,200,100,100,100,250,0,,,,,0,,50,,0,,,0,,50,0,,,,,,,,,,,,,,,,,NCR,Movin,H90304798406,Matched ✅,,,24,6,2026,NA,104,JJR-DRY-MH-LUHARI,,,550,
24-Jun-26,0,3,H90304798407,3,,HIVPL/26-27/1305,P4701472,Zepto,KTPL-KOL-DRY-MH NEW,4,200,100,50,,,,,,,,50,,,,,,50,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304798407,Matched ✅,,,24,6,2026,NA,24,KTPL-KOL-DRY-MH NEW,,,50,
24-Jun-26,0,3,H90304798408,3,,HIVPL/26-27/1306,P4701544,Zepto,MUM-DRY-MH3,4,150,0,50,50,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,OOS,Movin,H90304798408,Matched ✅,,,24,6,2026,NA,24,MUM-DRY-MH3,,,100,
24-Jun-26,0,3,SR-20904218789303,3,,HIVPL/26-27/1308,P4701329,Zepto,HYD-MH 3,4,150,0,50,,,,,,,,,,,,,,,,,,50,,50,,,,,,,,,,,,,,,,OOS,Shiprocket,SR-20904218789303,Matched ✅,,,24,6,2026,NA,24,HYD-MH 3,,,50,
25-Jun-26,0,3,H90304801311,3,,HIVPL/26-27/1326,P4732647,Zepto,BLR-Nelamangala-DRYMH,1,150,0,50,,,50,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,OOS,Movin,H90304801311,Matched ✅,,,25,6,2026,NA,24,BLR-Nelamangala-DRYMH,,,100,
25-Jun-26,0,2,H90304801312,2,,HIVPL/26-27/1327,P4730388,Zepto,Bnglr MYLP,1,100,0,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Movin,H90304801312,Matched ✅,,,25,6,2026,NA,16,BLR-MYLAPURA MH,,,100,
25-Jun-26,0,6,H90304801313,6,,HIVPL/26-27/1328,P4687078,Zepto,FBD-DRY-MH,29-Jun,300,0,50,,,,,,,,,,,,,,,,,,200,50,,,,,,,,,,,,,,,,,NCR,Movin,H90304801313,Matched ✅,,,25,6,2026,NA,48,FBD-DRY-MH,,,50,
26-Jun-26,0,3,H90304804246,3,,HIVPL/26-27/1351,P4743863,Zepto,BLR-DRY-MH-Sumadhura2,2,150,50,50,,,,,,,,,,50,,,,,,,,,,50,,,,,,,,,,,,,,,,OOS,Movin,H90304804246,Matched ✅,,,26,6,2026,NA,24,BLR-DRY-MH-Sumadhura2,,,50,
26-Jun-26,0,1,H90304804248,1,,HIVPL/26-27/1352,P4710841,Zepto,CHN-SS-MH-THIRUVALLUR,4,50,0,,50,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304804248,Matched ✅,,,26,6,2026,NA,8,CHN-SS-MH-THIRUVALLUR,,,50,
26-Jun-26,0,2,H90304804250,2,,HIVPL/26-27/1353,P4744202,Zepto,MUM-DRY-MH3,2,100,0,,50,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,OOS,Movin,H90304804250,Matched ✅,,,26,6,2026,NA,16,MUM-DRY-MH3,,,50,
26-Jun-26,0,8,H90304804251,8,,HIVPL/26-27/1222,P4666325,Zepto,MUM-DRY-MH-SHAKTI,9,400,100,,50,,100,,,,,,,50,,,,,,50,,0,50,100,,,,,,,,,,,,,,,,OOS,Movin,H90304804251,Matched ✅,,,26,6,2026,NA,64,MUM-DRY-MH-SHAKTI,,,150,
29-Jun-26,0,3,H90304809154,3,2,HIVPL/26-27/1355,P4688522,Zepto,GUR-DRY-MH-FARUKHNAGAR,01-Jul,150,0,100,,,,,,,,,,,,,,,,,,0,,50,,,,,,,,,,,,,,,,NCR,Movin,H90304809154,Matched ✅,,,29,6,2026,NA,24,GUR-DRY-MH-FARUKHNAGAR,,,100,
29-Jun-26,0,2,H90304809155,2,3,HIVPL/26-27/1356,P4701487,Zepto,GUR-DRY-MH-FARUKHNAGAR,46204,100,0,,,,0,,,,,,,,,,,,,,,,50,50,,,,,,,,,,,,,,,,NCR,Movin,H90304809155,Matched ✅,,,29,6,2026,NA,16,GUR-DRY-MH-FARUKHNAGAR,,,,
29-Jun-26,0,12,H90304809158,12,5,HIVPL/26-27/1358,P4686468,Zepto,JJR-DRY-MH-LUHARI,01-Jul,600,250,100,100,100,0,0,,,50,50,,,50,,,50,,50,,50,,,,,,,,,,,,,,,,,,NCR,Movin,H90304809158,Matched ✅,,,29,6,2026,NA,96,JJR-DRY-MH-LUHARI,,,300,
29-Jun-26,0,2,H90304809167,2,14,HIVPL/26-27/1369,P4743671,Zepto,BLR-DRY-MH-Sumadhura2,5,100,50,,,,50,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304809167,Matched ✅,,,29,6,2026,NA,16,BLR-DRY-MH-Sumadhura2,,,50,
29-Jun-26,0,5,H90304809168,5,15,HIVPL/26-27/1370,P4743960,Zepto,Bnglr MYLP,5,250,0,,,50,50,,,,,,,,,,,,,,,100,50,,,,,,,,,,,,,,,,,,Movin,H90304809168,Matched ✅,,,29,6,2026,NA,40,BLR-MYLAPURA MH,,,100,
29-Jun-26,0,2,H90304809169,2,16,HIVPL/26-27/1371,P4746293,Zepto,CHN-DRY-MH2-THIRUVALLUR,5,100,0,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304809169,Matched ✅,,,29,6,2026,NA,16,CHN-DRY-MH2-THIRUVALLUR,,,100,
29-Jun-26,0,4,H90304809170,4,17,HIVPL/26-27/1372,P4744535,Zepto,HYD-DRY-MH2-KANDLAKOYA,5,200,0,,,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304809170,Matched ✅,,,29,6,2026,NA,32,HYD-DRY-MH2-KANDLAKOYA,,,200,
29-Jun-26,0,1,H90304809171,1,18,HIVPL/26-27/1373,P4744604,Zepto,HYD-DRY-MH2-KANDLAKOYA,5,50,0,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,OOS,Movin,H90304809171,Matched ✅,,,29,6,2026,NA,8,HYD-DRY-MH2-KANDLAKOYA,,,,
30-Jun-26,0,3,SR-20904218895375,3,1,HIVPL/26-27/1379,P4743850,Zepto,AHM-DRY-MH-KHEDA,6,150,0,100,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,OOS,Shiprocket,SR-20904218895375,Matched ✅,,,30,6,2026,NA,24,AHM-DRY-MH-KHEDA,,,100,
30-Jun-26,0,11,H90304811716,11,2,HIVPL/26-27/1377,P4665120,Zepto,CHN-DRY-MH2-THIRUVALLUR,13-Jan,550,0,250,,150,50,,0,,,,,,,,,,,,,50,,50,,,,,,,,,,,,,,,,OOS,Movin,H90304811716,Matched ✅,,,30,6,2026,NA,88,CHN-DRY-MH2-THIRUVALLUR,,,450,
30-Jun-26,0,5,H90304811717,5,3,HIVPL/26-27/1378,P4745328,Zepto,JPR-DRY-MH-SANGANER_1,6,250,0,50,,50,50,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,OOS,Movin,H90304811717,Matched ✅,,,30,6,2026,NA,40,JPR-DRY-MH-SANGANER_1,,,150,
30-Jun-26,0,6,H90304812709,6,5,HIVPL/26-27/1382,P4746353,Zepto,KTPL-KOL-DRY-MH NEW,6,300,300,,,,,,,,50,,50,50,50,,,,50,50,,,,,,,,,,,,,,,,,,,,OOS,Movin,H90304812709,Matched ✅,,,30,6,2026,NA,48,KTPL-KOL-DRY-MH NEW,,,,
